"Notice publication number","Publication date",Title,"Official name","Type of procedure","The contract is awarded within a framework agreement","Identifier of the contract",Title,"Lot technical ID","Number of tenders or requests to participate received","Contractor awarded","Value of the tender","Value of the lowest admissible tender","Value of the highest admissible tender",Currency
40273-2025,"21/01/2025 (UTC+01)","China – Research and development services and related consultancy services – EU-China Dialogue and Cooperation on ETS-related policies and measures","European Commission, INTPA - International Partnerships",Restricted,,2024/462-230,,LOT-0001,,"ADELPHI CONSULT GMBH---GOPA WORLDWIDE CONSULTANTS GMBH---SQ CONSULT B.V.",," "," ",
41057-2025,"21/01/2025 (UTC+01)","Belgium – Research and development services and related consultancy services – Towards a Pilot European Start-up Scoreboard","European Innovation Council and SMEs Executive Agency (EISMEA), EISMEA - European Innovation Council and SMEs Executive Agency, European Commission, DG RTD - Research and Innovation",Open,,EISMEA/2024/OP/0010,,LOT-0001,,"FOREFRONT OY---VISIONARY ANALYTICS UAB---EUROPEAN FUTURE INNOVATION SYSTEM CENTRE",," "," ",
42493-2025,"21/01/2025 (UTC+01)","China – Research and development consultancy services – Technical assistance to the implementation of the EU-CHINA Policy Support Facility","European Commission, INTPA - International Partnerships",Restricted,,462412,,LOT-0001,,"IBF IMPACT SRL---EQUINOCCIO COMPANIA DE COMERCIO EXTERIOR SL",," "," ",
44033-2025,"22/01/2025 (UTC+01)","Belgium – Nuclear safety services – Cooperation with the Turkish Organisation in Charge of Radioactive Waste Management (TR4.01/23)","European Commission, INTPA - International Partnerships",Restricted,,INSC/2024/459-887,,LOT-0001,,"ENCONET CONSULTING GMBH---NUCLEAR RESEARCH AND CONSULTANCY GROUP",," "," ",
44794-2025,"22/01/2025 (UTC+01)","Belgium – Canteen and catering services – Restauration pour les services d’accueil de l’enfance de la Commission européenne dans la Région de Bruxelles-Capitale et environs","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels",Open,,"EC-OIB/2024/OP/0060/C0/L0",,LOT-0001,,"Compass Group Belgilux NV/SA",," "," ",
47247-2025,"23/01/2025 (UTC+01)","Belgium – Telecommunications services – Telecommunication Services Dynamic Purchasing System (2023 Q3)","European Commission, Directorate-General for Digital Services (DIGIT), DIGIT.R.3 - Procurement and Legal Compliance",Restricted,,DI/08010,"TELCO DPS-MC001 (VOICE IV)",LOT-0000,,"Proximus public limited company under Belgian Public Law---POST Telecom S.A","21 750 000,00",,,EUR
48269-2025,"23/01/2025 (UTC+01)","Belgium – Event services – Structured Dialogue with civil society on cultural policy 2025-2028","European Commission, DG EAC - Education, Youth, Sport and Culture",Open,,EAC-2024-0505,,LOT-0001,,"ECORYS EUROPE EEIG - GEIE---KEA EUROPEAN AFFAIRS",," "," ",
49054-2025,"23/01/2025 (UTC+01)","Belgium – Recreational, cultural and sporting services – European Expert Network on Culture","European Commission, DG EAC - Education, Youth, Sport and Culture",Open,,EAC-2024-0507,,LOT-0001,,"PANTEIA BV---VRIJE UNIVERSITEIT BRUSSEL---KEA EUROPEAN AFFAIRS",," "," ",
53598-2025,"27/01/2025 (UTC+01)","Belgium – Business and management consultancy and related services – Study on EU Substitution Centre(s) - Providing support to businesses to substitute their use of hazardous chemicals through collaboration, innovation, research and direct assistance","European Commission, DG GROW - Internal Market, Industry, Entrepreneurship and SMEs",Open,,"EC-GROW/2024/OP/0038 LOT 3 SI2.930304",,LOT-0003,,"RISK & POLICY ANALYSTS LIMITED",," "," ",
53774-2025,"27/01/2025 (UTC+01)","Belgium – Business and management consultancy and related services – Study on EU Substitution Centre(s) - Providing support to businesses to substitute their use of hazardous chemicals through collaboration, innovation, research and direct assistance","European Commission, DG GROW - Internal Market, Industry, Entrepreneurship and SMEs",Open,,"EC-GROW/2024/OP/0038 LOT 1 SI2.930256",,LOT-0001,,"WSP E&IS GMBH",," "," ",
53923-2025,"27/01/2025 (UTC+01)","Belgium – Training services – Learning and Development Services in the field of finance, accounting, fraud prevention, internal and external control and audit for staff of the Institutions, Bodies and Agencies (IBAs) of the European Union","European Commission, DG HR - Human Resources and Security","Negotiated without prior call for competition",,EC-HR/2024/NP/0314,,LOT-0001,,"BDO LLP",," "," ",
54515-2025,"27/01/2025 (UTC+01)","Luxembourg – Accident and health insurance services – Assurance couvrant les enfants fréquentant le Centre polyvalent de l'Enfance (LUX) géré par la Commission européenne","Commission européenne-OIL Infrastructures et Logistique (LUX)","Other single stage procedure",,EC-OIL/2024/MVP/0001,,LOT-0002,,"Marsh S.A---Chubb S.E (belge branch)","105 000,00",,,EUR
54720-2025,"27/01/2025 (UTC+01)","Luxembourg, Belgium – Electricity distribution and related services – Fourniture d’énergie électrique aux Institutions européennes au Grand-Duché de Luxembourg","Commission européenne, OIL - Office Infrastructures et Logistique à Luxembourg, Cour de justice de l’Union européenne, Cour des comptes, EP - European Parliament, EURSC - European Schools, European Investment Bank, European Public Prosecutor’s Office, Translation Centre for the Bodies of the European Union, ESM - European Stability Mechanism","Negotiated with prior publication of a call for competition / competitive with negotiation",,EC-OIL/2024/CPN/0007,,LOT-0001,,"LEO (LUXEMBOURG ENERGY OFFICE) S.A.",," "," ",
55051-2025,"27/01/2025 (UTC+01)","Germany – Architectural, construction, engineering and inspection services – Objektüberwachungs- und Planungsleistungen Flügel M","Europäische Kommission, Gemeinsame Forschungsstelle (JRC)",Restricted,,,,LOT-0001,,"Not Awarded",," "," ",
56777-2025,"27/01/2025 (UTC+01)","Belgium – Business and management consultancy and related services – Study on EU Substitution Centre(s) - Providing support to businesses to substitute their use of hazardous chemicals through collaboration, innovation, research and direct assistance","European Commission, DG GROW - Internal Market, Industry, Entrepreneurship and SMEs",Open,,"EC-GROW/2024/OP/0038 LOT 2 SI2.930292",,LOT-0002,,"EPPA SA---HASKONINGDHV NEDERLAND BV",," "," ",
59809-2025,"28/01/2025 (UTC+01)","Belgium – Economic research services – Selected implementing aspects of the draft Regulation on Standard Essential Patents (SEPs)","European Commission, DG GROW - Internal Market, Industry, Entrepreneurship and SMEs",Open,,SI2.930576,,LOT-0001,,"CRA INTERNATIONAL (UK) LIMITED",," "," ",
59949-2025,"29/01/2025 (UTC+01)","North Macedonia – Administration, defence and social security services – Addendum 1 to contract ""Technical assistance EU for Municipalities"" - IPA 2021/424872","European Union, represented by the European Commission on behalf of and for the account of North Macedonia","Negotiated without prior call for competition",,IPA/2021/424-872,,LOT-0001,,"GOPA PARTNERS IN ACTION FOR CHANGE AND ENGAGEMENT---EVOLUXER S.L---ALDA - ASSOCIATION EUROPEENNE POUR LA DEMOCRATIE LOCALE",," "," ",
60662-2025,"29/01/2025 (UTC+01)","Belgium – Event services – EU Capital and EU Green Pioneer of Smart Tourism","European Commission, DG GROW - Internal Market, Industry, Entrepreneurship and SMEs",Open,,SI2.1937206,,LOT-0001,,"SCHOLZ & FRIENDS BERLIN GMBH",," "," ",
63035-2025,"29/01/2025 (UTC+01)","Italy – Electronic supplies – Supply of electronic components for the ELSA laboratory","European Commission, DG JRC - Joint Research Centre",Open,,947585-IPR-2024,,LOT-0001,,"Beckhoff Automation srl",," "," ",
65079-2025,"30/01/2025 (UTC+01)","Belgium – Custom software development services – Development, Consultancy and Support for an Age Verification Solution","European Commission, DG CNECT - Communications Networks, Content and Technology",Open,,4500075543,,LOT-0001,,"SCYTALES AB---T-SYSTEMS INTERNATIONAL GMBH",," "," ",
65508-2025,"30/01/2025 (UTC+01)","Italy – Data supply services – Copernicus Global Land Operations - biophysical variables: cryosphere and hydrosphere","European Commission, DG JRC - Joint Research Centre","Negotiated with prior publication of a call for competition / competitive with negotiation",,945954,,LOT-0001,,"COLLECTE LOCALISATION SATELLITES",," "," ",
67065-2025,"31/01/2025 (UTC+01)","Albania – Advertising, propaganda and information film and video-tape production – EU for Biodiversity and Circular Economy Communication Services in Albania","European Union, represented by the European Commission on behalf of and for the account of Albania",Restricted,,"IPA III/2024/462148",,LOT-0001,,"GDSI LIMITED---MILIEUKONTAKT SHQIPERI---MCCANN TIRANA---FORMATO VERDE LDA",," "," ",
68049-2025,"31/01/2025 (UTC+01)","Belgium, Luxembourg, France, Latvia, Netherlands, Spain, Poland, Sweden, Finland, Denmark, Italy, Ireland, Lithuania, Germany, Slovakia, Portugal, Hungary, Malta, Greece, Austria, Slovenia, Estonia, Czechia – Training services – Learning and Development Services for staff of the Institutions, Bodies and Agencies (IBAs) of the European Union","European Commission, DG HR - Human Resources and Security, Court of Justice of the European Union, EDPS - European Data Protection Supervisor, EP - European Parliament, European Court of Auditors, European External Action Service (EEAS), OMBUDSMAN - European Ombudsman, The General Secretariat of the Council of the European Union, Agence Exécutive du Conseil Européen de la Recherche, European Climate, Infrastructure and Environment Executive Agency (CINEA), European Education and Culture Executive Agency (EACEA), European Innovation Council and SMEs Executive Agency (EISMEA), European Research Executive Agency (REA), Health and Digital Executive Agency (HaDEA), Agency for Support for BEREC (BEREC Office), CEDEFOP - European Centre for the Development of Vocational Training, Chips Joint Undertaking, Circular Bio-based Europe Joint Undertaking, Clean Aviation Joint Undertaking, Clean Hydrogen Joint Undertaking, Community Plant Variety Office, EDCTP3 JU - Global Health EDCTP3 Joint Undertaking, Eurojust, Europe's Rail Joint Undertaking, European Agency for Safety and Health at Work (EU-OSHA), European Banking Authority, European Border and Coast Guard Agency (FRONTEX), European Centre for Disease Prevention and Control, European Chemicals Agency, European Defence Agency, European Environment Agency (EEA), European Fisheries Control Agency (EFCA), European Food Safety Authority, European Foundation for the Improvement of Living and Working Conditions, European High-Performance Computing Joint Undertaking, European Institute for Gender Equality, European Insurance and Occupational Pensions Authority, European Investment Bank, European Investment Fund, European Labour Authority (ELA), European Maritime Safety Agency, European Medicines Agency, European Public Prosecutor’s Office, European Securities and Markets Authority, European Training Foundation (ETF), European Union Agency For Law Enforcement Training, European Union Agency for Asylum, European Union Agency for Cybersecurity (ENISA), European Union Agency for Fundamental Rights, European Union Agency for Law Enforcement Cooperation, European Union Agency for Railways, European Union Agency for the Cooperation of Energy Regulators, European Union Agency for the Operational Management of Large-Scale IT Systems in the Area of Freedom, Security and Justice (eu-LISA), European Union Agency for the Space Programme, European Union Aviation Safety Agency, F4E - Fusion for Energy Joint Undertaking, Innovative Health Initiative Joint Undertaking (IHI JU), SESAR3 Joint Undertaking, SNS JU - Smart Networks and Services Joint Undertaking, Single Resolution Board (SRB), Translation Centre for the Bodies of the European Union, Committee of the Regions of the European Union, European Economic and Social Committee",Open,,HR/2023/OP/0313,,LOT-0003,,"EUROPA COLLEGE STICHTING VAN OPENBAAR NUT---STICHTING EUROPEES INSTITUUT VOOR BESTUURSKUNDE*INSTITUT EUROPEEN D'ADMINISTRATION PUBLIQUE EUROPEAN INSTITUTE OF PUBLIC ADMINISTRATION EIPA---ASSOCIATION GROUPE ESSEC",," "," ",
75745-2025,"04/02/2025 (UTC+01)","Belgium – Repair and maintenance services of security equipment – Maintenance d’équipements de sécurité contre les véhicules hostiles en Belgique.","Commission européenne, DG HR - Human Resources and Security",Restricted,,,,LOT-0001,,"Not Awarded",," "," ",
76333-2025,"04/02/2025 (UTC+01)","Belgium – Repair and maintenance services of security equipment – Maintenance d’équipements de sécurité contre les véhicules hostiles en Belgique.","Commission européenne, DG HR - Human Resources and Security",Restricted,,,,LOT-0003,,"Not Awarded",," "," ",
76917-2025,"04/02/2025 (UTC+01)","Belgium – Repair and maintenance services of security equipment – Maintenance d’équipements de sécurité contre les véhicules hostiles en Belgique.","Commission européenne, DG HR - Human Resources and Security",Restricted,,,,LOT-0002,,"Not Awarded",," "," ",
77302-2025,"05/02/2025 (UTC+01)","Belgium – Disposable nappies – Fourniture et livraison de langes jetables pour le Service d'Accueil de l'Enfance de la Commission européenne à Bruxelles","Commission européenne, OIB - Office for Infrastructure and Logistics in Brussels",Open,,"EC-OIB/2024/OP/0080/C0/L0",,LOT-0001,,"ESSITY BELGIUM NV",," "," ",
78625-2025,"05/02/2025 (UTC+01)","Ireland – Security services – Provision of security services to the European Commission at its premises in Grange, Dunsany, County Meath, Ireland","European Commission, DG SANTE - Health and Food Safety",Open,,2024/SANTE/LC-03690787,,LOT-0001,,"Bidvest Noonan (ROI) Ltd.",," "," ",
79341-2025,"05/02/2025 (UTC+01)","Luxembourg – Repair and maintenance services – Maintenance multitechnique, dépannage des installations et réalisation de nouveaux travaux.","Commission européenne, OIL - Office Infrastructures et Logistique à Luxembourg",Open,,EC-OIL/2024/OP/0005,,LOT-0001,,"MERSCH & SCHMITZ SERVICES SARL",," "," ",
79930-2025,"05/02/2025 (UTC+01)","Netherlands – Electronic equipment – Supply and maintenance of a battery cycler for performance and durability tests at single cell level for large cells in JRC laboratories of Petten.","European Commission, DG JRC - Joint Research Centre",Open,,,,LOT-0001,,"Not Awarded",," "," ",
